,MergeSort,SelectionSort
1,1513,926
2,4737,1020
3,8708,1514
4,12520,2299
5,8842,4376
6,3074,3522
7,3940,1316
8,4818,1975
9,7601,3002
10,7484,3373
11,9162,4120
12,8569,4317
13,10217,5299
14,9599,5662
15,10589,6355
16,11171,7240
17,11665,7905
18,12657,8721
19,26207,9576
20,14088,10742
21,17219,11569
22,15457,13577
23,15803,13472
24,20238,14610
25,18894,15735
26,20062,17651
27,19086,17464
28,19724,19999
29,20844,3203
30,23192,3014
31,21917,3141
32,29674,3450
33,16152,3847
34,17028,4125
35,20063,7048
36,22229,4166
37,18211,5544
38,20557,4773
39,18265,4514
40,20272,6307
41,29367,4940
42,19850,4858
43,20305,5085
44,21300,5427
45,22109,5323
46,21973,5511
47,22542,5759
48,34620,7291
49,23336,5899
50,26794,6101
51,24256,6490
52,24655,6527
53,25354,6943
54,37216,7153
55,26712,7479
56,26847,7480
57,31177,8694
58,27121,7623
59,32094,8042
60,44311,8437
61,30100,9520
62,32259,10160
63,30092,9166
64,33972,9711
65,41929,9792
66,33190,10966
67,34027,9988
68,32260,10069
69,35266,11532
70,43800,10401
71,35402,11199
72,36092,11301
73,34033,10715
74,47230,12037
75,37363,15350
76,35714,11935
77,37435,12590
78,38854,13071
79,39915,13741
80,40337,13854
81,41011,13739
82,49024,13898
83,41584,14799
84,42155,15099
85,43812,15166
86,220073,16441
87,45671,16190
88,44877,15908
89,41665,15020
90,45571,15524
91,46669,16537
92,36540,13227
93,21503,9490
94,21148,10952
95,22397,9874
96,21167,9722
97,22909,10057
98,21976,10184
99,23579,10595
100,21096,10304
101,21578,10486
102,24353,11137
103,22489,11198
104,22194,11153
105,22373,11253
106,25385,11651
107,22633,11682
108,24439,11930
109,23156,12075
110,26321,12283
111,25630,12604
112,27273,13052
113,28901,13201
114,27670,14638
115,25939,13580
116,25991,13701
117,29270,13954
118,26238,14173
119,27617,14528
120,26343,14679
121,38692,16500
122,28746,17059
123,28284,15748
124,39213,16179
125,27623,16354
126,40532,18532
127,28090,21407
128,28194,19410
129,27911,19086
130,30522,19658
131,42802,20149
132,28620,18574
133,43238,20503
134,32568,19666
135,29811,20244
136,29835,21910
137,44947,21269
138,30600,23018
139,33988,22148
140,30914,23969
141,31519,22670
142,46334,22934
143,32143,26375
144,43790,25764
145,34374,26333
146,44999,26159
147,34516,26901
148,44423,25256
149,33378,25659
150,46499,25772
151,34054,26627
152,46315,26220
153,35473,26991
154,46392,26590
155,35217,26952
156,48378,28927
157,44738,29214
158,47553,27517
159,47082,28073
160,35574,28350
161,48640,28806
162,36788,29266
163,48970,29798
164,37220,30049
165,49606,30531
166,38596,31034
167,53199,31211
168,50879,31482
169,38730,32038
170,50548,32293
171,39666,32960
172,51313,33352
173,51983,33932
174,40476,37466
175,53063,34538
176,41093,34604
177,58684,41737
178,41912,35676
179,41879,36382
180,54159,36475
181,44188,39041
182,55215,37225
183,57902,39957
184,53492,50857
185,57042,40136
186,58642,39219
187,44048,43282
188,57608,41808
189,61322,43557
190,47767,44174
191,56934,43929
192,61484,42652
193,48183,44623
194,58506,46948
195,61512,42602
196,47746,42782
197,60714,43183
198,68602,49707
199,47718,47424
200,61404,46231
201,62925,49661
202,52658,48895
203,63032,48040
204,61032,47809
