,MergeSort,SelectionSort
1,116,97
2,176,90
3,145,92
4,163,101
5,199,116
6,241,123
7,265,140
8,219,153
9,226,113
10,232,101
11,258,105
12,315,113
13,353,119
14,309,123
15,317,128
16,309,125
17,323,129
18,355,139
19,385,145
20,389,151
21,536,158
22,510,160
23,550,166
24,564,171
25,1460,179
26,493,186
27,501,193
28,555,200
29,529,208
30,551,217
31,588,232
32,572,186
33,651,168
34,614,177
35,630,192
36,711,206
37,824,210
38,829,218
39,827,231
40,886,247
41,936,252
42,946,255
43,995,273
44,1011,288
45,1013,295
46,1070,301
47,1053,322
48,1085,334
49,1113,339
50,1159,360
51,1183,377
52,1250,394
53,1290,420
54,1290,428
55,1315,452
56,1333,478
57,1285,465
58,1322,491
59,1357,503
60,1371,513
61,1411,536
62,1419,549
63,1393,561
64,1409,586
65,1462,610
66,1481,621
67,1500,635
68,1527,646
69,1557,667
70,1603,683
71,1615,700
72,1683,771
73,1678,777
74,2321,772
75,1352,790
76,1387,823
77,1458,834
78,1673,856
79,1507,884
80,1532,915
81,1550,933
82,1594,959
83,1608,973
84,1621,1010
85,1707,1044
86,1701,1080
87,1740,1093
88,1758,1130
89,1805,1158
90,1809,1175
91,1865,1210
92,1805,1225
93,1884,1272
94,1924,1307
95,1944,1335
96,1974,1351
97,1953,1399
98,1995,1402
99,2026,1436
100,2730,1476
101,1966,1512
102,1997,1523
103,2013,1563
104,2011,1592
105,2056,1625
106,2073,1679
107,2083,1698
108,2079,1746
109,2103,1773
110,2154,1826
111,2147,1853
112,2226,1947
113,2215,1941
114,2223,1977
115,2254,2027
116,2261,2068
117,2275,2098
118,2343,2155
119,2314,2174
120,2346,2227
121,3003,2251
122,2391,2273
123,2393,2353
124,2424,2375
125,2445,2418
126,2484,2484
127,2484,2510
128,2503,2575
129,2532,2613
130,2576,2644
131,2582,2681
132,2595,2739
133,2630,2774
134,2656,2820
135,2667,2862
136,2671,2911
137,2713,2956
138,2782,2997
139,3761,3043
140,2767,3077
141,2805,3135
142,2807,3151
143,2812,3207
144,2859,3231
145,2897,3280
146,2917,3325
147,2958,3379
148,2965,3431
149,3001,3473
150,3117,3534
151,3068,3600
152,3052,3636
153,3073,3677
154,3904,3730
155,3128,3778
156,3173,3821
157,3180,3867
158,3196,3916
159,3230,3966
160,3240,4004
161,3302,4059
162,3291,4118
163,3314,4155
164,3374,4203
165,3457,4268
166,3490,4302
167,4484,4361
168,3470,4423
169,3491,4478
170,3530,4517
171,3532,4572
172,3553,4629
173,3598,4699
174,3618,4745
175,3703,4792
176,3708,4855
177,3718,4888
178,3803,4986
179,3792,5022
180,4527,5075
181,3862,5134
182,3888,5181
183,3904,5232
184,3955,5271
185,3977,5326
186,4023,5393
187,4027,5467
188,4074,5504
189,4092,5573
190,4105,5602
191,6222,5693
192,5323,5741
193,4199,5826
194,4167,5851
195,4192,5942
196,4212,5981
197,4219,6035
198,4311,6080
199,4334,6168
200,4348,6206
201,4489,6331
202,4367,6325
203,5124,6387
204,4377,6464
205,4417,6507
206,4427,6573
207,4441,6627
208,4493,6686
209,4558,6747
210,4601,6810
211,4610,6898
212,4755,6941
213,5697,6994
214,4656,7048
215,4687,7138
216,4703,7187
217,4733,7240
218,4762,7303
219,4845,7406
220,4835,7512
221,5687,7507
222,5085,7583
223,5530,7635
224,4855,7680
225,4879,7738
226,4912,7810
227,4945,7915
228,5035,7940
229,5136,8017
230,5258,8080
231,5395,8123
232,6549,8246
233,5154,8261
234,5120,8347
235,5141,8436
236,5134,8465
237,5197,8630
238,5181,8616
239,5191,8722
240,5203,8718
241,5297,8816
242,6176,8870
243,5311,8940
244,5291,8992
245,5349,9109
246,5390,9153
247,5407,9236
248,5524,9292
249,5733,9348
250,7285,9446
251,5633,9496
252,5515,9664
253,5507,9666
254,5477,9699
255,5520,9755
256,5495,9842
257,5640,9941
258,5686,9976
259,6144,10140
260,5700,10113
261,6063,10222
262,5817,10305
263,6041,10377
264,6121,10444
265,6100,10514
266,5920,10654
267,6129,10693
268,5829,10725
269,5902,10799
270,5956,10855
271,6025,10960
272,6161,11002
273,6118,11157
274,6071,11284
275,6274,11284
276,6105,11350
277,6053,11414
278,6162,11480
279,6250,11678
280,6912,11768
281,6647,12141
282,6177,11880
283,6454,11934
284,6190,11964
285,6241,12084
286,6382,12101
287,6330,12235
288,6357,12278
289,6444,12427
290,6912,12433
291,6314,12548
292,6390,12708
293,6473,12749
294,6510,12762
295,6660,12852
296,6745,12940
297,7283,13041
298,6636,13168
299,6584,13207
300,6597,13261
301,6731,13380
302,6820,13141
303,6910,13251
304,7106,13241
305,6905,13310
306,6902,13390
307,7070,13481
308,7119,13567
309,7438,13621
310,7604,13742
311,7609,13796
312,7139,13854
313,7229,13936
314,7408,14165
315,7140,14141
316,7184,14220
317,7295,14293
318,7718,14394
319,7313,14455
320,7378,14575
321,7431,14621
322,7570,14718
323,7836,14800
324,8283,14907
325,7542,15083
326,7552,15174
327,7560,15150
328,7608,15265
329,7793,15344
330,8399,15684
331,7384,16360
332,7438,16158
333,7434,16144
334,7548,16248
335,7607,16449
336,7504,16444
337,7597,16646
338,7700,16636
339,7873,16753
340,8150,16824
341,8274,16955
342,8375,16997
343,8711,17103
344,7859,17228
345,7819,17343
346,7883,17357
347,7998,17454
348,8364,17512
349,8550,17641
350,7985,17696
351,8117,17891
352,8434,17902
353,8349,18280
354,8064,18074
355,8435,18574
356,8269,18314
357,8562,18376
358,8739,18470
359,8743,18650
360,9276,18642
361,8406,18865
362,8385,18902
363,8411,19043
364,8484,19074
365,8890,19269
366,9296,19219
367,8555,19377
368,8840,19413
369,9013,19546
370,8656,19729
371,8548,19734
372,8937,19839
373,8769,19918
374,8941,20019
375,8915,20256
376,9014,20232
377,9168,20360
378,8906,20523
379,8895,20679
380,8968,20606
381,9302,20800
382,9523,20835
383,9454,20943
384,9049,21054
385,9315,21368
386,9152,21342
387,9092,21371
388,9584,21590
389,9275,21583
390,9654,21685
391,10027,22075
392,9701,21946
393,9877,22127
394,9284,22117
395,9332,22277
396,9494,22323
397,9792,22693
398,10292,22539
399,9330,22639
400,9466,22788
401,9398,23070
402,9521,22969
403,10202,23365
404,9619,23122
405,9808,23330
406,10180,23306
407,10153,23632
408,9903,23683
409,9670,23978
410,9844,23788
411,10069,24190
412,9835,24015
413,9814,24384
414,9865,24233
415,9730,24888
416,9770,24446
417,9995,24593
418,10837,24613
419,9891,24701
420,10035,24844
421,10136,25050
422,10018,25031
423,10525,25163
424,10074,25278
425,10383,25508
426,10692,25584
427,10623,25731
428,10343,25780
429,10124,26012
430,10244,25983
431,10523,26298
432,10571,26439
433,10769,26594
434,10245,26627
435,10159,26519
436,10379,26803
437,10820,27439
438,10782,27256
439,10383,27059
440,10437,27273
441,10362,27337
442,10883,27364
443,10463,27611
444,10428,27568
445,10449,27775
446,10581,27968
447,10746,28017
448,10581,27998
449,10982,28389
450,11215,28341
451,11826,28513
452,10654,28631
453,10743,28977
454,10973,28835
455,11281,28980
456,11555,28912
457,10966,29352
458,10912,29283
459,10860,29635
460,11453,29668
461,10963,29747
462,11219,29690
463,11590,29888
464,10955,29954
465,11311,30205
466,11300,30145
467,11755,30375
468,11444,30460
469,11730,30756
470,11141,30644
471,11407,30937
472,11815,30903
473,12244,31027
474,11226,31149
475,11282,31472
476,11248,31341
477,11616,31507
478,11964,31737
479,11534,31980
480,11848,31972
481,11320,32008
482,11920,32113
483,11681,32298
484,12173,32329
485,12130,32839
486,11834,32704
487,11629,32719
488,12138,32866
489,12472,33232
490,12673,33246
491,11611,33322
492,11613,33384
493,12085,33575
494,12337,33673
495,12124,34024
496,11601,33981
497,11695,34105
498,11671,34224
499,12028,34455
500,11973,34515
