,MergeSort,SelectionSort
1,51,47
2,103,53
3,96,56
4,99,35
5,109,24
6,124,31
7,185,32
8,122,36
9,150,38
10,187,38
11,190,43
12,227,45
13,254,51
14,277,58
15,294,60
16,307,69
17,338,74
18,393,82
19,339,94
20,341,97
21,361,104
22,376,108
23,397,119
24,433,125
25,521,133
26,520,143
27,546,154
28,565,170
29,611,171
30,525,183
31,551,192
32,576,213
33,593,220
34,609,227
35,618,242
36,634,246
37,706,266
38,681,274
39,698,285
40,709,306
41,751,359
42,759,320
43,837,341
44,814,415
45,814,404
46,860,434
47,872,522
48,904,558
49,912,567
50,926,535
51,967,559
52,984,589
53,1075,647
54,1054,625
55,1075,642
56,1061,666
57,1139,769
58,1117,773
59,1151,812
60,1145,802
61,1195,838
62,1200,877
63,1230,912
64,1238,919
65,1306,959
66,1280,983
67,1291,1003
68,1307,1065
69,1362,1102
70,1359,1120
71,1368,1133
72,1410,1156
73,1409,1176
74,1446,1275
75,1554,1343
76,1494,1320
77,1511,1330
78,1568,1357
79,1538,1393
80,1550,1403
81,1610,1448
82,1603,1470
83,1634,1536
84,1709,1578
85,1698,1591
86,1700,1618
87,1735,1639
88,1698,1667
89,1772,1697
90,1783,1772
91,1799,1826
92,1797,1841
93,1805,1847
94,1869,1899
95,1831,1912
96,1862,1940
97,1886,1962
98,1966,2026
99,1962,2032
100,1939,2122
101,1996,2150
102,1984,2183
103,2029,2247
104,2027,2278
105,2037,2291
106,2151,2344
107,2107,2385
108,2117,2429
109,2104,2459
110,2170,2516
111,2123,2505
112,2210,2557
113,2197,2605
114,2294,2703
115,2252,2703
116,2252,2725
117,2268,2772
118,2290,2800
119,2288,2867
120,2334,2895
121,2347,2930
122,2397,2991
123,2400,3031
124,2419,3122
125,2415,3119
126,2425,3141
127,2443,3199
128,2456,3246
129,2517,3253
130,2528,3302
131,2538,3375
132,2701,3520
133,2568,3456
134,2638,3508
135,2657,3596
136,2688,3608
137,2696,3627
138,2704,3664
139,2713,3715
140,2771,3804
141,2740,3787
142,2820,3842
143,2828,3889
144,2826,3905
145,2872,3951
146,2882,4063
147,2997,4204
148,2947,4152
149,2987,4232
150,2970,4261
151,3016,4314
152,2993,4328
153,3030,4422
154,3136,4518
155,3086,4497
156,3070,4524
157,3161,4625
158,3215,4681
159,3178,4699
160,3195,4782
161,3290,4862
162,3264,4854
163,3334,4899
164,3414,5041
165,3464,5028
166,3480,5066
167,3413,5160
168,3371,5187
169,3425,5257
170,3468,5322
171,3490,5365
172,3495,5407
173,3478,5466
174,3588,5521
175,3623,5591
176,3709,5660
177,3741,5697
178,3788,5822
179,3767,5817
180,3765,5902
181,3752,5902
182,3817,5986
183,3858,6050
184,3785,6096
185,3859,6157
186,3921,6233
187,3923,6312
188,4018,6422
189,3975,6410
190,3942,6474
191,3990,6504
192,4066,6640
193,4105,6770
194,4052,6767
195,4061,6788
196,4232,6997
197,4410,7223
198,4530,7335
199,4309,7120
200,4177,7124
201,4321,7373
202,4390,7291
203,4339,7268
204,4266,7319
205,4308,7419
206,4352,7437
207,4356,7539
208,4483,7707
209,4457,7655
210,4598,7785
211,4517,7723
212,4561,7887
213,4621,7927
214,4639,7979
215,4636,8100
216,4675,8230
217,5066,8681
218,4979,8611
219,4940,8532
220,5665,9097
221,4728,8551
222,4730,8550
223,4718,8576
224,4746,8705
225,4805,8790
226,4906,8800
227,4876,8798
228,5006,9230
229,4969,9188
230,4906,9060
231,4884,9051
232,4936,9164
233,4990,9243
234,5128,9309
235,5146,9402
236,5060,9378
237,5091,9574
238,5093,9623
239,5115,9661
240,5105,9749
241,5215,9862
242,5302,9957
243,5279,9947
244,5234,10070
245,5553,10573
246,5506,10416
247,5626,10729
248,5489,10622
249,5517,10684
250,5612,10665
251,5632,10792
252,5624,10956
253,5548,10964
254,5587,10901
255,5621,10998
256,5668,11175
257,5620,11204
258,5636,11300
259,5648,11399
260,5731,11640
261,5728,11656
262,5689,11639
263,5662,11642
264,5704,11744
265,5863,12019
266,6030,12088
267,5938,12135
268,5836,12181
269,5899,12271
270,5899,12291
271,5822,12320
272,5942,12595
273,6053,12750
274,6176,12861
275,6088,12850
276,6089,12949
277,5954,12826
278,6078,13007
279,6160,13124
280,6131,13203
281,6121,13211
282,6396,13524
283,6185,13345
284,6276,13730
285,6346,13803
286,6321,13849
287,6257,13752
288,6314,13909
289,6322,13861
290,6361,13875
291,6328,13894
292,6275,13968
293,6288,14012
294,6399,14275
295,6487,14508
296,6395,14363
297,6539,14671
298,6542,14666
299,6669,14984
300,6666,15069
301,6765,15240
302,6764,15316
303,6735,15335
304,6670,15276
305,6697,15342
306,6914,15632
307,6918,15627
308,6751,15493
309,6780,15578
310,6902,15908
311,6966,16017
312,7009,16168
313,7021,16243
314,6940,16005
315,6903,16090
316,7094,16562
317,6989,16535
318,6927,16415
319,6959,16569
320,6920,16496
321,7090,16876
322,7099,16680
323,7285,17222
324,7099,17063
325,7340,17491
326,7285,17380
327,7269,17372
328,7279,17575
329,7427,17884
330,7550,18003
331,7398,17883
332,7317,17919
333,7333,17984
334,7365,18159
335,7382,18215
336,7363,18281
337,7452,18440
338,7529,18472
339,7446,18406
340,7498,18706
341,7763,19032
342,7711,19043
343,7830,19459
344,7566,19120
345,7711,19540
346,7773,19549
347,7923,19904
348,7667,19646
349,7804,19987
350,7760,19827
351,8078,20522
352,7996,20438
353,7861,20283
354,7994,20372
355,7999,20529
356,7879,20575
357,7907,20518
358,8023,20745
359,7961,20645
360,8371,21319
361,7980,20807
362,8036,20882
363,7885,20880
364,7823,21003
365,7854,21081
366,7943,21200
367,7922,21224
368,7937,21518
369,8133,21869
370,8309,21929
371,8281,22134
372,8261,22361
373,8408,22585
374,8256,22328
375,8208,22270
376,8414,22918
377,8257,22616
378,8521,22947
379,8622,23351
380,8658,23659
381,8310,22999
382,8358,23123
383,8401,23395
384,8496,23542
385,8474,23453
386,8860,24167
387,8766,24253
388,8624,24158
389,8569,23905
390,8908,24413
391,8831,24245
392,8907,24531
393,8718,24249
394,9021,24762
395,8842,24689
396,8882,24918
397,9469,25888
398,9136,25455
399,9049,25640
400,8792,25287
401,8970,25716
402,9034,25511
403,9009,25696
404,8935,25788
405,8962,25722
406,9200,26199
407,9132,26246
408,9118,26507
409,9117,26616
410,9182,26550
411,9161,26752
412,9164,26889
413,9225,27093
414,9233,27223
415,9375,27573
416,9196,27278
417,9439,27782
418,9571,27819
419,9581,28151
420,9364,27915
421,9441,27964
422,9617,28222
423,9653,28199
424,9704,28390
425,9512,28095
426,9699,28535
427,9685,28624
428,9759,28825
429,9667,28951
430,9712,29327
431,9686,29380
432,9636,29463
433,9665,29596
434,9674,29577
435,9768,29814
436,9795,30243
437,9750,30128
438,9959,30313
439,9875,30394
440,9694,30140
441,9623,30060
442,9708,29979
443,9819,30677
444,10027,31680
445,9793,31139
446,10148,31786
447,10391,32381
448,10145,31905
449,9940,31312
450,9943,31112
451,9880,30994
452,9902,31180
453,9976,31466
454,9985,31418
455,10042,31673
456,10105,31827
457,10154,31995
458,10210,32277
459,10182,32240
460,10147,32368
461,10078,32392
462,10064,32427
463,10005,32571
464,9875,32683
465,9966,32944
466,10136,33031
467,10072,33090
468,10028,33340
469,10126,33510
470,10373,33666
471,10188,33848
472,10091,33924
473,10194,34130
474,10361,34437
475,10244,34215
476,10280,34398
477,10209,34434
478,10521,35244
479,10268,35061
480,10267,35240
481,10381,35165
482,10474,35328
483,10429,35564
484,10554,36035
485,10427,35584
486,10630,35780
487,10629,36024
488,10698,36142
489,10801,36308
490,10782,36439
491,10805,36538
492,10714,36530
493,10656,36538
494,10734,36878
495,10708,37025
496,10624,37178
497,10679,37288
498,10815,37440
499,10762,37472
500,10738,37789
