,MergeSort,SelectionSort
1,51,48
2,99,54
3,90,54
4,104,33
5,108,24
6,120,27
7,208,28
8,125,31
9,144,35
10,176,39
11,186,40
12,221,47
13,247,55
14,267,57
15,298,62
16,314,70
17,331,73
18,390,80
19,323,85
20,334,100
21,550,146
22,478,133
23,422,127
24,463,131
25,520,135
26,529,147
27,552,147
28,583,163
29,612,173
30,520,182
31,533,185
32,552,197
33,564,206
34,600,231
35,606,234
36,616,241
37,669,248
38,658,261
39,694,281
40,738,294
41,809,334
42,785,335
43,815,345
44,807,357
45,841,366
46,848,381
47,868,393
48,886,524
49,885,525
50,908,551
51,944,564
52,967,603
53,1033,636
54,1008,614
55,1018,620
56,1034,632
57,1112,728
58,1111,735
59,1132,765
60,1125,771
61,1192,783
62,1178,806
63,1190,839
64,1247,919
65,1274,904
66,1250,895
67,1287,921
68,1298,925
69,1349,1002
70,1456,1066
71,1385,1063
72,1467,1106
73,1402,1092
74,1406,1159
75,1457,1187
76,1445,1217
77,1491,1249
78,1525,1245
79,2016,1535
80,1536,1340
81,1589,1386
82,1558,1366
83,1591,1435
84,1655,1432
85,1637,1480
86,1683,1509
87,1781,1603
88,1731,1587
89,1749,1617
90,1737,1651
91,1741,1666
92,1795,1699
93,1779,1718
94,1900,1796
95,1919,1855
96,1865,1859
97,1881,1864
98,1882,1880
99,1907,1912
100,1918,1980
101,2001,2035
102,1995,2107
103,1993,2098
104,2006,2100
105,2029,2164
106,2080,2189
107,2074,2255
108,2083,2249
109,2106,2314
110,2178,2343
111,2157,2365
112,2214,2432
113,2238,2477
114,2235,2500
115,2224,2561
116,2280,2585
117,2307,2638
118,2294,2642
119,2273,2660
120,2339,2706
121,2356,2747
122,2402,2795
123,2437,2849
124,2385,2887
125,2429,2895
126,2388,2916
127,2456,3035
128,2411,2999
129,2496,3094
130,2503,3079
131,2495,3169
132,2551,3259
133,2527,3242
134,2590,3266
135,2580,3301
136,2617,3379
137,2655,3448
138,2635,3437
139,2692,3489
140,2732,3555
141,2717,3574
142,2789,3623
143,2809,3684
144,2837,3743
145,2844,3738
146,2834,3798
147,2889,3894
148,2960,3941
149,2935,3928
150,2947,3967
151,3045,4090
152,3006,4092
153,2996,4106
154,3126,4272
155,3179,4356
156,3067,4273
157,3163,4352
158,3190,4411
159,3168,4429
160,3183,4484
161,3312,4621
162,3282,4613
163,3253,4643
164,3275,4718
165,3335,4771
166,3352,4797
167,3383,4923
168,3374,4931
169,3355,4954
170,3465,5050
171,3505,5118
172,3460,5089
173,4023,5702
174,3486,5158
175,3520,5266
176,3563,5357
177,3573,5330
178,3613,5438
179,3655,5449
180,3647,5561
181,3679,5588
182,3749,5653
183,3740,5727
184,3772,5830
185,3791,5843
186,3827,5863
187,3808,5936
188,3837,5959
189,3920,6126
190,3869,6067
191,3903,6179
192,3886,6170
193,3935,6251
194,4024,6385
195,4052,6508
196,4032,6530
197,4044,6532
198,4088,6592
199,4095,6664
200,4110,6746
201,4172,6839
202,4173,6787
203,4299,7072
204,4323,7099
205,4337,7110
206,4408,7243
207,4360,7226
208,4739,7669
209,4473,7378
210,4497,7388
211,4519,7448
212,4553,7559
213,4520,7541
214,4533,7673
215,4473,7708
216,4780,8041
217,4598,7842
218,4690,7895
219,4651,7971
220,4711,8129
221,4689,8082
222,4707,8139
223,4718,8155
224,4728,8266
225,4746,8302
226,4894,8386
227,4858,8495
228,4809,8468
229,4865,8581
230,4864,8522
231,4913,8644
232,4898,8679
233,4992,8812
234,5104,8855
235,5119,9102
236,5025,9107
237,5067,9115
238,5092,9288
239,5087,9261
240,5137,9380
241,5205,9485
242,5304,9624
243,5277,9594
244,5204,9729
245,5302,9760
246,5381,9758
247,5377,9960
248,5294,9964
249,5358,10028
250,5520,10254
251,5426,10268
252,5381,10278
253,5397,10239
254,5508,10450
255,5544,10608
256,5646,10733
257,5614,10571
258,5578,10760
259,5581,10848
260,5647,10880
261,5718,11076
262,5629,11088
263,5680,11313
264,5645,11309
265,5717,11233
266,5775,11321
267,5797,11545
268,5698,11448
269,5789,11695
270,5773,11748
271,5749,11773
272,5785,11912
273,5855,11909
274,5909,12031
275,5917,12182
276,5893,12179
277,5931,12212
278,5990,12355
279,5939,12412
280,5955,12686
281,6025,12810
282,6125,12786
283,6085,12650
284,6014,12821
285,6104,12945
286,6097,12943
287,6124,13091
288,6170,13346
289,6158,13342
290,6270,13514
291,6318,13351
292,6268,13610
293,6283,13513
294,6300,13753
295,6337,13978
296,6269,13679
297,6401,13976
298,6495,14015
299,6377,14118
300,6420,14273
301,6506,14594
302,6452,14537
303,6391,14252
304,6446,14459
305,6493,14595
306,6658,14779
307,6605,14808
308,6585,14941
309,6600,14788
310,6727,15091
311,7088,16099
312,6936,15749
313,6799,15860
314,7109,15645
315,6988,16092
316,6850,15902
317,6814,15919
318,6819,16194
319,6821,16205
320,7175,16775
321,7549,17144
322,7285,17031
323,7141,16896
324,6984,16771
325,7124,16984
326,7050,16612
327,7076,16912
328,7068,17098
329,7177,17184
330,7572,17996
331,7282,17676
332,7252,17483
333,7435,18044
334,7238,17871
335,7179,17113
336,7159,17601
337,7239,17561
338,7303,17823
339,7396,18166
340,7392,18280
341,7416,18167
342,7555,18387
343,7490,17699
344,7511,18508
345,7634,19104
346,7643,19015
347,7732,19269
348,7686,19356
349,7665,18986
350,7709,19308
351,7742,19509
352,7686,19589
353,7796,20037
354,7918,20144
355,7831,19666
356,7769,19985
357,7852,20224
358,7813,20120
359,8056,20713
360,8224,20943
361,9125,22355
362,8262,20935
363,7957,20901
364,8813,22293
365,8040,21354
366,8233,21113
367,8255,21215
368,8121,21554
369,8145,21268
370,8252,21898
371,8354,22398
372,8239,22114
373,8441,22237
374,8339,21248
375,8558,22148
376,8482,22106
377,8401,22410
378,8429,22002
379,8676,22920
380,8823,23009
381,9557,24236
382,8479,22895
383,9230,24083
384,8921,23642
385,8614,23337
386,8644,23575
387,8607,23377
388,8560,23407
389,8592,23137
390,8777,23427
391,8507,23087
392,8561,23552
393,8854,24788
394,8882,24657
395,8738,24064
396,8589,24320
397,8825,24640
398,8793,24906
399,8816,25034
400,8876,25197
401,9031,25620
402,9029,25324
403,9039,24854
404,8938,25794
405,9186,26100
406,9055,25193
407,9018,25810
408,8909,25644
409,9063,26045
410,9135,26273
411,9115,26098
412,9007,25342
413,9207,27127
414,9145,26877
415,9238,27009
416,9152,26061
417,9142,26330
418,9275,26206
419,9330,27119
420,9199,26554
421,9457,27376
422,9367,27559
423,9352,27641
424,9377,28011
425,9403,28396
426,9538,28216
427,9408,27716
428,9409,28585
429,9417,29038
430,9522,28434
431,9523,29258
432,9418,28715
433,9648,29266
434,9701,29067
435,9772,29790
436,9650,29717
437,9770,29943
438,9749,29706
439,9714,29596
440,10353,30645
441,10130,30800
442,10047,30522
443,10047,30781
444,10088,30660
445,9969,30054
446,9897,30019
447,9847,30697
448,9617,30354
449,9783,30481
450,9956,30561
451,10144,31028
452,10340,31920
453,10540,32428
454,10174,31854
455,10284,32078
456,10029,32062
457,10151,32443
458,10257,32572
459,10162,32458
460,10079,32633
461,9994,32459
462,10154,32781
463,10336,32900
464,10264,32985
465,10314,32940
466,10317,32957
467,10445,33236
468,10426,33178
469,10496,34084
470,10854,34129
471,11396,35683
472,11417,35928
473,11209,35737
474,11536,36406
475,10517,34348
476,11066,35421
477,11062,36046
478,10582,35159
479,10522,34972
480,10539,34996
481,10669,35655
482,10523,33836
483,10621,35086
484,10635,35610
485,10865,36152
486,11002,36245
487,10911,36678
488,11043,36802
489,10845,36500
490,10922,36221
491,11054,36902
492,10864,37067
493,10785,35705
494,10931,35715
495,10921,36636
496,10967,36787
497,11065,36685
498,11308,37569
499,11051,38098
500,10948,38281
