,MergeSort,SelectionSort
1,273,120
2,691,186
3,928,194
4,1244,255
5,1554,334
6,2273,491
7,2339,546
8,3811,753
9,2222,789
10,2534,982
11,2785,1095
12,643,1307
13,637,1609
14,624,1661
15,678,1847
16,785,2142
17,755,1094
18,775,524
19,844,566
20,881,658
21,1131,669
22,982,741
23,1269,777
24,1172,887
25,1155,1322
26,1158,980
27,1185,1026
28,1265,1065
29,1297,1110
30,1399,1221
31,1346,1235
32,1382,1453
33,1480,1431
34,1523,1511
35,1459,1697
36,1607,1731
37,1564,1802
38,1652,1869
39,1773,1862
40,1779,1973
41,1845,2114
42,2025,2140
43,2071,2202
44,1876,2723
45,2118,2493
46,1959,2507
47,2041,2737
48,2036,2743
49,2086,2880
50,2174,3180
51,2156,2983
52,2182,3128
53,2304,3333
54,2415,3611
55,2418,3736
56,2362,3503
57,2468,3668
58,2551,4208
59,2548,4418
60,2682,4030
61,2732,4446
62,14253,4130
63,2699,4523
64,2720,4644
65,2871,4542
66,2868,5080
67,3183,5229
68,3008,5225
69,3150,5631
70,3131,5234
71,3293,5885
72,3183,5405
73,3311,5936
74,3300,6136
75,3318,6333
76,3714,6342
77,3486,6136
78,3582,6289
79,3706,12028
80,3646,12414
81,3829,12359
82,3875,18430
83,3652,12490
84,3711,11028
85,3838,11240
86,3861,11741
87,4058,14077
88,3949,13833
89,4879,13119
90,2592,13492
91,2629,14064
92,2541,17705
93,2836,18145
94,2678,16276
95,2693,16284
96,2698,15769
97,3050,18488
98,2805,16422
99,2722,1315
100,14756,1198
101,2842,1131
102,2854,1162
103,2892,1175
104,2833,1166
105,2992,1589
106,3029,1259
107,3073,1300
108,2911,1324
109,3009,1327
110,3075,1386
111,3113,1442
112,3070,1461
113,3204,1478
114,3121,1462
115,4856,1518
116,3290,1601
117,3337,1604
118,3410,1657
119,3755,1672
120,3391,2943
121,3329,1643
122,3329,1730
123,3334,1762
124,3375,1784
125,3508,1847
126,14970,1922
127,3422,1846
128,3467,1920
129,3555,1967
130,3792,1982
131,3813,2107
132,3605,2125
133,3773,2164
134,3775,2212
135,3742,2174
136,3859,2411
137,3699,2318
138,3678,2309
139,3843,2366
140,3807,2396
141,3871,2446
142,4036,2691
143,3956,2507
144,3898,2474
145,4037,2532
146,3942,2524
147,4095,2589
148,15817,2631
149,4200,2619
150,4097,2640
151,4063,2688
152,4362,4468
153,4493,2844
154,4400,2872
155,4399,2923
156,4397,2941
157,4509,2965
158,4415,3045
159,4424,3007
160,4478,3080
161,4588,3095
162,5082,3228
163,4680,3231
164,4637,3185
165,4665,3247
166,6052,4105
167,19016,4188
168,4794,3401
169,5996,5803
170,4906,3392
171,5841,4189
172,4832,3452
173,6688,3541
174,5121,3546
175,5055,3658
176,5193,3679
177,7061,3737
178,5898,3681
179,5119,3762
180,5140,3843
181,5210,3870
182,5312,3908
183,5450,4012
184,6988,4003
185,5357,3926
186,5443,3972
187,5482,4041
188,5400,4018
189,5358,4083
190,5570,4234
191,5485,4234
192,6936,6229
193,6941,4307
194,5643,4316
195,5568,4298
196,5544,4321
197,5885,4404
198,19460,5928
199,5694,4526
200,5630,4505
201,5718,4575
202,5727,4600
203,5891,6284
204,6007,4812
205,6209,4848
206,7161,4807
207,5947,4819
208,5981,4908
209,6051,4944
210,6049,5044
211,6220,5080
212,20497,5050
213,5997,4898
214,5956,5003
215,6089,5021
216,5943,5014
217,6075,5183
218,6173,5123
219,6346,8358
220,6182,5372
221,6301,5402
222,6308,5446
223,6378,5460
224,6372,5596
225,24037,5848
226,6376,5644
227,6423,5640
228,6529,5694
229,6620,5747
230,6574,5834
231,8202,7781
232,6559,5972
233,6638,5962
234,6720,5956
235,6683,6085
236,6537,6081
237,6826,7790
238,18150,6247
239,6488,6193
240,6414,6222
241,6741,6321
242,6714,10039
243,6887,6467
244,6847,6498
245,6989,6538
246,6989,6582
247,7040,6554
248,10114,6749
249,7312,6763
250,21023,6764
251,6891,6766
252,7330,7073
253,7102,7096
254,7173,6976
255,7156,6947
256,8225,8257
257,8635,9546
258,6209,7386
259,6053,7244
260,6172,7451
261,187965,7878
262,6441,7699
263,6380,7699
264,6779,9162
265,6269,7685
266,6355,7887
267,6346,7790
268,6368,7782
269,6643,7849
270,8044,8063
271,6442,7920
272,6498,7956
273,6624,7909
274,6756,9711
275,6817,8518
276,6771,8367
277,6803,8450
278,6829,8346
279,6827,8610
280,6868,8742
281,6962,8784
282,7303,8777
283,6947,8768
284,6940,8742
285,7104,8805
286,6911,9971
287,6788,8633
288,6792,8712
289,6863,8819
290,6948,9005
291,7186,10564
292,7186,9244
293,7178,9088
294,7188,9050
295,7230,9194
296,8685,10495
297,7001,9010
298,7028,9126
299,7055,9138
300,7009,9519
301,9062,11015
302,7298,9532
303,7227,9723
